position,rank,expected_ppg,dataset,season_count,player_count,environment_key
QB,1,23.970256009669168,fitted,,,1qb_half_ppr
QB,2,22.963016495589617,fitted,,,1qb_half_ppr
QB,3,21.998101579057707,fitted,,,1qb_half_ppr
QB,4,21.0737327639635,fitted,,,1qb_half_ppr
QB,5,20.188206287297806,fitted,,,1qb_half_ppr
QB,6,19.339889978838144,fitted,,,1qb_half_ppr
QB,7,18.527220252791867,fitted,,,1qb_half_ppr
QB,8,17.748699225851677,fitted,,,1qb_half_ppr
QB,9,17.002891956351526,fitted,,,1qb_half_ppr
QB,10,16.28842379943429,fitted,,,1qb_half_ppr
QB,11,15.603977873356323,fitted,,,1qb_half_ppr
QB,12,14.948292632258873,fitted,,,1qb_half_ppr
QB,13,14.320159540932613,fitted,,,1qb_half_ppr
QB,14,13.718420847289444,fitted,,,1qb_half_ppr
QB,15,13.141967448435933,fitted,,,1qb_half_ppr
QB,16,12.58973684641515,fitted,,,1qb_half_ppr
QB,17,12.060711189849053,fitted,,,1qb_half_ppr
QB,18,11.553915397871819,fitted,,,1qb_half_ppr
QB,19,11.068415362896209,fitted,,,1qb_half_ppr
QB,20,10.603316228900432,fitted,,,1qb_half_ppr
QB,21,10.15776074206202,fitted,,,1qb_half_ppr
QB,22,9.730927670698753,fitted,,,1qb_half_ppr
QB,23,9.322030291604255,fitted,,,1qb_half_ppr
QB,24,8.93031493998837,fitted,,,1qb_half_ppr
QB,25,8.555059620349612,fitted,,,1qb_half_ppr
QB,26,8.195572675719292,fitted,,,1qb_half_ppr
QB,27,7.851191512824524,fitted,,,1qb_half_ppr
QB,28,7.5212813808203896,fitted,,,1qb_half_ppr
QB,29,7.205234201340238,fitted,,,1qb_half_ppr
QB,30,6.9024674477077435,fitted,,,1qb_half_ppr
QB,31,6.612423071244905,fitted,,,1qb_half_ppr
QB,32,6.334566472697002,fitted,,,1qb_half_ppr
QB,33,6.068385516878666,fitted,,,1qb_half_ppr
QB,34,5.813389588724929,fitted,,,1qb_half_ppr
QB,35,5.569108689007362,fitted,,,1qb_half_ppr
QB,36,5.335092568048569,fitted,,,1qb_half_ppr
QB,37,5.11090989583835,fitted,,,1qb_half_ppr
QB,38,4.896147467021903,fitted,,,1qb_half_ppr
QB,39,4.69040943929472,fitted,,,1qb_half_ppr
QB,40,4.493316603800446,fitted,,,1qb_half_ppr
QB,41,4.3045056861868884,fitted,,,1qb_half_ppr
QB,42,4.123628677031934,fitted,,,1qb_half_ppr
QB,43,3.9503521904052277,fitted,,,1qb_half_ppr
QB,44,3.7843568493833457,fitted,,,1qb_half_ppr
QB,45,3.6253366973858485,fitted,,,1qb_half_ppr
QB,46,3.472998634247235,fitted,,,1qb_half_ppr
QB,47,3.32706187598537,fitted,,,1qb_half_ppr
QB,48,3.187257437270643,fitted,,,1qb_half_ppr
QB,49,3.053327635641994,fitted,,,1qb_half_ppr
QB,50,2.925025616555959,fitted,,,1qb_half_ppr
QB,51,2.8021148983933495,fitted,,,1qb_half_ppr
QB,52,2.6843689365849195,fitted,,,1qb_half_ppr
QB,53,2.5715707060526554,fitted,,,1qb_half_ppr
QB,54,2.4635123011970355,fitted,,,1qb_half_ppr
QB,55,2.3599945526929824,fitted,,,1qb_half_ppr
